id,full_object_name,column_name,data_type,max_length,precision_value,scale_value,is_nullable,description,is_key,schema_name,table_name,created_at
15,BRONZE_ERP__DBO.EMPLOYEES,STORE_ID,"number(38,0)",38,38,0,1,"Identifies the store where the employee is assigned, referencing the `store_id` column in the `stores` table.",,BRONZE_ERP__DBO,EMPLOYEES,2026-04-13 11:59:38
16,BRONZE_ERP__DBO.EMPLOYEES,UPDATED_AT,timestamp_ntz,,,,1,"Tracks the timestamp of the most recent update to an employee record, ensuring accurate audit and change tracking.",,BRONZE_ERP__DBO,EMPLOYEES,2026-04-13 11:59:38
17,BRONZE_ERP__DBO.INVENTORY,CREATED_AT,timestamp_ntz,,,,1,The `created_at` column records the non-nullable timestamp indicating when the inventory record was initially created.,,BRONZE_ERP__DBO,INVENTORY,2026-04-13 11:59:38
18,BRONZE_ERP__DBO.INVENTORY,INVENTORY_ID,"number(38,0)",38,38,0,0,"Unique identifier for each inventory record, serving as the primary key for the inventory table.",Yes,BRONZE_ERP__DBO,INVENTORY,2026-04-13 11:59:38
19,BRONZE_ERP__DBO.INVENTORY,LAST_RESTOCKED_AT,timestamp_ntz,,,,1,"The `last_restocked_at` column records the timestamp of the most recent inventory restocking event, allowing null values if no restocking has occurred.",,BRONZE_ERP__DBO,INVENTORY,2026-04-13 11:59:38
20,BRONZE_ERP__DBO.INVENTORY,PRODUCT_ID,"number(38,0)",38,38,0,1,"References the unique identifier of a product from the products table, linking inventory records to specific products.",,BRONZE_ERP__DBO,INVENTORY,2026-04-13 11:59:38
21,BRONZE_ERP__DBO.INVENTORY,QUANTITY_ON_HAND,"number(38,0)",38,38,0,1,The `quantity_on_hand` column in the `inventory` table stores the current stock level of a product in integer format and cannot be null.,,BRONZE_ERP__DBO,INVENTORY,2026-04-13 11:59:38
22,BRONZE_ERP__DBO.INVENTORY,REORDER_LEVEL,"number(38,0)",38,38,0,1,"Indicates the minimum quantity of a product in inventory that triggers a reorder, stored as a non-null integer.",,BRONZE_ERP__DBO,INVENTORY,2026-04-13 11:59:38
23,BRONZE_ERP__DBO.INVENTORY,STOCK_UNIT,text(32),32,,,1,Current stock unit label.,,BRONZE_ERP__DBO,INVENTORY,2026-04-13 11:59:38
24,BRONZE_ERP__DBO.INVENTORY,STOCK_VALUE,"number(10,2)",10,10,2,1,"Represents the monetary value of inventory stock, stored as a numeric value with up to two decimal places, and may be null.",,BRONZE_ERP__DBO,INVENTORY,2026-04-13 11:59:38
25,BRONZE_ERP__DBO.INVENTORY,STORE_ID,"number(38,0)",38,38,0,1,"Identifier for the store associated with the inventory record, referencing the `store_id` column in the `stores` table.",,BRONZE_ERP__DBO,INVENTORY,2026-04-13 11:59:38
26,BRONZE_ERP__DBO.INVENTORY,UPDATED_AT,timestamp_ntz,,,,1,The `updated_at` column in the `inventory` table stores the non-nullable timestamp of the most recent update to an inventory record.,,BRONZE_ERP__DBO,INVENTORY,2026-04-13 11:59:38
27,BRONZE_ERP__DBO.PRODUCTS,ACTIVE,boolean,,,,1,"Indicates whether a product is active and available for transactions, stored as a non-nullable boolean value.",,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
28,BRONZE_ERP__DBO.PRODUCTS,CATEGORY,text(256),256,,,1,"Indicates the product's category classification, such as ""Books,"" ""Clothing,"" or ""Electronics,"" stored as a non-nullable nvarchar string.",,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
29,BRONZE_ERP__DBO.PRODUCTS,COST_PRICE,"number(10,2)",10,10,2,1,The `cost_price` column stores the non-null numeric cost amount (up to 10 digits with 2 decimal places) representing the purchase price of a product in the retail system.,,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
30,BRONZE_ERP__DBO.PRODUCTS,CREATED_AT,timestamp_ntz,,,,1,"Indicates the timestamp when the product record was initially created, stored as a non-nullable datetime value.",,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
31,BRONZE_ERP__DBO.PRODUCTS,LENGTH_UNIT,text(32),32,,,1,Source length unit (cm/in) used for unit inference testing.,,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
32,BRONZE_ERP__DBO.PRODUCTS,LENGTH_VALUE,"number(10,2)",10,10,2,1,"Stores the length measurement of a product as a numeric value with up to 10 digits and 2 decimal places, nullable.",,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
33,BRONZE_ERP__DBO.PRODUCTS,NAME,text(256),256,,,1,"The ""name"" column in the ""products"" table stores the non-nullable name of each product as a Unicode string.",,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
34,BRONZE_ERP__DBO.PRODUCTS,PRIMARY_SUPPLIER_ID,"number(38,0)",38,38,0,1,Primary supplier relationship used for join candidate detection.,,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
35,BRONZE_ERP__DBO.PRODUCTS,PRODUCT_DESCRIPTION,text(256),256,,,1,Stores an optional textual description of the product.,,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
36,BRONZE_ERP__DBO.PRODUCTS,PRODUCT_ID,"number(38,0)",38,38,0,0,"Unique identifier for each product in the retail system, serving as the primary key for the products table.",Yes,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
37,BRONZE_ERP__DBO.PRODUCTS,SKU,text(900),900,,,1,"Unique alphanumeric identifier for a product used for inventory and sales tracking, stored as a non-nullable nvarchar(450).",,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
38,BRONZE_ERP__DBO.PRODUCTS,SUPPLIER_ID,"number(38,0)",38,38,0,1,"Identifier linking each product to its supplier, referencing the `supplier_id` column in the `suppliers` table.",,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
39,BRONZE_ERP__DBO.PRODUCTS,UNIT_PRICE,"number(10,2)",10,10,2,1,"Represents the retail price of a product in the store, stored as a non-null numeric value with up to 10 digits and 2 decimal places.",,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
40,BRONZE_ERP__DBO.PRODUCTS,UPDATED_AT,timestamp_ntz,,,,1,The `updated_at` column stores the non-nullable timestamp of the most recent update to a product record in the `products` table.,,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
41,BRONZE_ERP__DBO.PRODUCTS,WEIGHT_UNIT,text(32),32,,,1,Source weight unit (kg/lb) used for unit inference testing.,,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
42,BRONZE_ERP__DBO.PRODUCTS,WEIGHT_VALUE,"number(10,2)",10,10,2,1,"The `weight_value` column stores the weight of a product as a numeric value with up to 10 digits and 2 decimal places, and it is nullable.",,BRONZE_ERP__DBO,PRODUCTS,2026-04-13 11:59:38
43,BRONZE_ERP__DBO.PURCHASE_ORDERS,APPROVER_EMPLOYEE_ID,"number(38,0)",38,38,0,1,Approver employee foreign key for procurement workflow.,,BRONZE_ERP__DBO,PURCHASE_ORDERS,2026-04-13 11:59:38
44,BRONZE_ERP__DBO.PURCHASE_ORDERS,CREATED_AT,timestamp_ntz,,,,1,The `created_at` column records the timestamp when a purchase order entry was initially created in the system and cannot be null.,,BRONZE_ERP__DBO,PURCHASE_ORDERS,2026-04-13 11:59:38
45,BRONZE_ERP__DBO.PURCHASE_ORDERS,EXPECTED_DATE,date,,,,1,"The ""expected_date"" column in the ""purchase_orders"" table records the anticipated delivery date of a purchase order, allowing null values.",,BRONZE_ERP__DBO,PURCHASE_ORDERS,2026-04-13 11:59:38
46,BRONZE_ERP__DBO.PURCHASE_ORDERS,ORDER_DATE,date,,,,1,The `order_date` column in the `purchase_orders` table stores the non-null date when a purchase order was placed.,,BRONZE_ERP__DBO,PURCHASE_ORDERS,2026-04-13 11:59:38
47,BRONZE_ERP__DBO.PURCHASE_ORDERS,PO_ID,"number(38,0)",38,38,0,0,Unique identifier for purchase orders in the retail operations system.,Yes,BRONZE_ERP__DBO,PURCHASE_ORDERS,2026-04-13 11:59:38
48,BRONZE_ERP__DBO.PURCHASE_ORDERS,STATUS,text(256),256,,,1,"Indicates the current state of a purchase order (e.g., ""Ordered"", ""Received"") as a non-null categorical value.",,BRONZE_ERP__DBO,PURCHASE_ORDERS,2026-04-13 11:59:38
49,BRONZE_ERP__DBO.PURCHASE_ORDERS,STORE_ID,"number(38,0)",38,38,0,1,"Identifies the store associated with a purchase order, referencing the `store_id` column in the `stores` table.",,BRONZE_ERP__DBO,PURCHASE_ORDERS,2026-04-13 11:59:38
50,BRONZE_ERP__DBO.PURCHASE_ORDERS,SUPPLIER_ID,"number(38,0)",38,38,0,1,"The `supplier_id` column in the `purchase_orders` table is a non-nullable foreign key referencing `suppliers.supplier_id`, identifying the supplier associated with each purchase order.",,BRONZE_ERP__DBO,PURCHASE_ORDERS,2026-04-13 11:59:38
51,BRONZE_ERP__DBO.PURCHASE_ORDERS,UPDATED_AT,timestamp_ntz,,,,1,The `updated_at` column records the timestamp of the most recent update to a purchase order and cannot be null.,,BRONZE_ERP__DBO,PURCHASE_ORDERS,2026-04-13 11:59:38
52,BRONZE_ERP__DBO.PURCHASE_ORDER_ITEMS,CREATED_AT,timestamp_ntz,,,,1,"Records the timestamp when a purchase order item entry is created, stored as a non-nullable datetime value.",,BRONZE_ERP__DBO,PURCHASE_ORDER_ITEMS,2026-04-13 11:59:38
53,BRONZE_ERP__DBO.PURCHASE_ORDER_ITEMS,ORDERED_QTY_UNIT,text(32),32,,,1,Ordered quantity unit (ea/box).,,BRONZE_ERP__DBO,PURCHASE_ORDER_ITEMS,2026-04-13 11:59:38
54,BRONZE_ERP__DBO.PURCHASE_ORDER_ITEMS,ORDERED_QTY_VALUE,"number(10,2)",10,10,2,1,"The `ordered_qty_value` column stores the numeric quantity value (up to two decimal places) of items ordered in a purchase order, which can be null.",,BRONZE_ERP__DBO,PURCHASE_ORDER_ITEMS,2026-04-13 11:59:38
55,BRONZE_ERP__DBO.PURCHASE_ORDER_ITEMS,PO_ID,"number(38,0)",38,38,0,1,Links each purchase order item to its corresponding purchase order in the `purchase_orders` table via a non-null foreign key.,,BRONZE_ERP__DBO,PURCHASE_ORDER_ITEMS,2026-04-13 11:59:38
56,BRONZE_ERP__DBO.PURCHASE_ORDER_ITEMS,PO_ITEM_ID,"number(38,0)",38,38,0,0,Unique identifier for each purchase order item record in the `purchase_order_items` table.,Yes,BRONZE_ERP__DBO,PURCHASE_ORDER_ITEMS,2026-04-13 11:59:38
57,BRONZE_ERP__DBO.PURCHASE_ORDER_ITEMS,PRODUCT_ID,"number(38,0)",38,38,0,1,Identifier linking each purchase order item to a specific product in the products table.,,BRONZE_ERP__DBO,PURCHASE_ORDER_ITEMS,2026-04-13 11:59:38
58,BRONZE_ERP__DBO.PURCHASE_ORDER_ITEMS,QUANTITY,"number(38,0)",38,38,0,1,The `quantity` column in the `purchase_order_items` table stores the non-null integer value representing the number of units of a product included in a specific purchase order item.,,BRONZE_ERP__DBO,PURCHASE_ORDER_ITEMS,2026-04-13 11:59:38
59,BRONZE_ERP__DBO.PURCHASE_ORDER_ITEMS,UNIT_COST,"number(10,2)",10,10,2,1,"Represents the per-unit cost of a product in a purchase order, stored as a non-null numeric value with up to 10 digits and 2 decimal places.",,BRONZE_ERP__DBO,PURCHASE_ORDER_ITEMS,2026-04-13 11:59:38
60,BRONZE_ERP__DBO.PURCHASE_ORDER_ITEMS,UPDATED_AT,timestamp_ntz,,,,1,"Records the timestamp of the most recent update to a purchase order item, ensuring accurate tracking of modifications.",,BRONZE_ERP__DBO,PURCHASE_ORDER_ITEMS,2026-04-13 11:59:38
61,BRONZE_ERP__DBO.SALES_ORDERS,CREATED_AT,timestamp_ntz,,,,1,The `created_at` column in the `sales_orders` table stores the non-nullable timestamp indicating when the sales order record was initially created.,,BRONZE_ERP__DBO,SALES_ORDERS,2026-04-13 11:59:38
62,BRONZE_ERP__DBO.SALES_ORDERS,CUSTOMER_ID,"number(38,0)",38,38,0,1,"Represents the identifier of the customer associated with a sales order, referencing the `customer_id` column in the `customers` table, and may be null if no customer is linked.",,BRONZE_ERP__DBO,SALES_ORDERS,2026-04-13 11:59:38
63,BRONZE_ERP__DBO.SALES_ORDERS,EMPLOYEE_ID,"number(38,0)",38,38,0,1,"Identifies the employee responsible for processing the sales order, referencing the `employees.employee_id` column.",,BRONZE_ERP__DBO,SALES_ORDERS,2026-04-13 11:59:38
64,BRONZE_ERP__DBO.SALES_ORDERS,ORDER_DATE,timestamp_ntz,,,,1,The `order_date` column in the `sales_orders` table stores the non-nullable timestamp indicating when a sales order was placed.,,BRONZE_ERP__DBO,SALES_ORDERS,2026-04-13 11:59:38
65,BRONZE_ERP__DBO.SALES_ORDERS,SALES_ORDER_ID,"number(38,0)",38,38,0,0,Unique identifier for each sales order in the system.,Yes,BRONZE_ERP__DBO,SALES_ORDERS,2026-04-13 11:59:38
66,BRONZE_ERP__DBO.SALES_ORDERS,SALES_REP_EMPLOYEE_ID,"number(38,0)",38,38,0,1,Sales representative foreign key for order ownership.,,BRONZE_ERP__DBO,SALES_ORDERS,2026-04-13 11:59:38
67,BRONZE_ERP__DBO.SALES_ORDERS,STATUS,text(256),256,,,1,"Indicates the current state of a sales order, such as 'Pending' or 'Completed', stored as a non-nullable text category.",,BRONZE_ERP__DBO,SALES_ORDERS,2026-04-13 11:59:38
68,BRONZE_ERP__DBO.SALES_ORDERS,STORE_ID,"number(38,0)",38,38,0,1,"Identifies the store associated with a sales order, referencing the `store_id` column in the `stores` table.",,BRONZE_ERP__DBO,SALES_ORDERS,2026-04-13 11:59:38
69,BRONZE_ERP__DBO.SALES_ORDERS,TOTAL_AMOUNT,"number(12,2)",12,12,2,1,The `total_amount` column in the `sales_orders` table stores the non-nullable total monetary value of a sales order as a numeric value with up to 12 digits and 2 decimal places.,,BRONZE_ERP__DBO,SALES_ORDERS,2026-04-13 11:59:38
70,BRONZE_ERP__DBO.SALES_ORDERS,UPDATED_AT,timestamp_ntz,,,,1,"The `updated_at` column records the timestamp of the most recent update to a sales order, ensuring accurate tracking of modifications, and it is mandatory.",,BRONZE_ERP__DBO,SALES_ORDERS,2026-04-13 11:59:38
71,BRONZE_ERP__DBO.SALES_ORDER_ITEMS,CREATED_AT,timestamp_ntz,,,,1,"The `created_at` column records the timestamp when a sales order item was created, stored as a non-nullable `datetime2` value.",,BRONZE_ERP__DBO,SALES_ORDER_ITEMS,2026-04-13 11:59:38
72,BRONZE_ERP__DBO.SALES_ORDER_ITEMS,PRODUCT_ID,"number(38,0)",38,38,0,1,"Identifier for the product associated with the sales order item, referencing the primary key in the products table.",,BRONZE_ERP__DBO,SALES_ORDER_ITEMS,2026-04-13 11:59:38
73,BRONZE_ERP__DBO.SALES_ORDER_ITEMS,QUANTITY,"number(38,0)",38,38,0,1,"The ""quantity"" column in the ""sales_order_items"" table stores the non-null integer value representing the number of units of a product included in a specific sales order item.",,BRONZE_ERP__DBO,SALES_ORDER_ITEMS,2026-04-13 11:59:38
74,BRONZE_ERP__DBO.SALES_ORDER_ITEMS,SALES_ORDER_ID,"number(38,0)",38,38,0,1,"References the unique identifier of the associated sales order in the `sales_orders` table, establishing a relationship between sales order items and their parent sales orders.",,BRONZE_ERP__DBO,SALES_ORDER_ITEMS,2026-04-13 11:59:38
75,BRONZE_ERP__DBO.SALES_ORDER_ITEMS,SALES_ORDER_ITEM_ID,"number(38,0)",38,38,0,0,"Unique identifier for each item in a sales order, serving as the primary key for the `sales_order_items` table.",Yes,BRONZE_ERP__DBO,SALES_ORDER_ITEMS,2026-04-13 11:59:38
76,BRONZE_ERP__DBO.SALES_ORDER_ITEMS,SOLD_QTY_UNIT,text(32),32,,,1,Sold quantity unit (ea/box).,,BRONZE_ERP__DBO,SALES_ORDER_ITEMS,2026-04-13 11:59:38
77,BRONZE_ERP__DBO.SALES_ORDER_ITEMS,SOLD_QTY_VALUE,"number(10,2)",10,10,2,1,"Represents the numeric value of the quantity sold for a sales order item, allowing up to two decimal places and nullable for cases where the quantity is not recorded.",,BRONZE_ERP__DBO,SALES_ORDER_ITEMS,2026-04-13 11:59:38
78,BRONZE_ERP__DBO.SALES_ORDER_ITEMS,UNIT_PRICE,"number(15,2)",15,15,2,1,"The `unit_price` column in the `sales_order_items` table stores the per-unit selling price of a product in the sales order, represented as a non-nullable numeric value with two decimal places.",,BRONZE_ERP__DBO,SALES_ORDER_ITEMS,2026-04-13 11:59:38
79,BRONZE_ERP__DBO.SALES_ORDER_ITEMS,UPDATED_AT,timestamp_ntz,,,,1,The `updated_at` column stores the non-nullable timestamp of the most recent update to a sales order item record for tracking modification history.,,BRONZE_ERP__DBO,SALES_ORDER_ITEMS,2026-04-13 11:59:38
80,BRONZE_ERP__DBO.STORES,ADDRESS,text(256),256,,,1,"The ""address"" column in the ""stores"" table stores the street address of a retail store location as a nullable Unicode string.",,BRONZE_ERP__DBO,STORES,2026-04-13 11:59:38
81,BRONZE_ERP__DBO.STORES,CITY,text(256),256,,,1,"The ""city"" column in the ""stores"" table stores the name of the city where a store is located, allowing null values.",,BRONZE_ERP__DBO,STORES,2026-04-13 11:59:38
82,BRONZE_ERP__DBO.STORES,CODE,text(900),900,,,1,"Unique alphanumeric identifier for each store, used for internal reference and operations.",,BRONZE_ERP__DBO,STORES,2026-04-13 11:59:38
83,BRONZE_ERP__DBO.STORES,CREATED_AT,timestamp_ntz,,,,1,The `created_at` column stores the non-null timestamp indicating when a store record was initially created in the system.,,BRONZE_ERP__DBO,STORES,2026-04-13 11:59:38
84,BRONZE_ERP__DBO.STORES,NAME,text(256),256,,,1,"The ""name"" column in the ""stores"" table is a non-nullable nvarchar field intended to store the name of a retail store.",,BRONZE_ERP__DBO,STORES,2026-04-13 11:59:38
85,BRONZE_ERP__DBO.STORES,PHONE,text(256),256,,,1,"The ""phone"" column in the ""stores"" table stores the contact phone number of a store as a nullable nvarchar value.",,BRONZE_ERP__DBO,STORES,2026-04-13 11:59:38
86,BRONZE_ERP__DBO.STORES,POSTAL_CODE,text(256),256,,,1,"The ""postal_code"" column in the ""stores"" table stores the postal code of a store location as a nullable nvarchar value.",,BRONZE_ERP__DBO,STORES,2026-04-13 11:59:38
87,BRONZE_ERP__DBO.STORES,STATE,text(256),256,,,1,"Indicates the state or province where the store is located, stored as a nullable nvarchar value.",,BRONZE_ERP__DBO,STORES,2026-04-13 11:59:38
88,BRONZE_ERP__DBO.STORES,STORE_ID,"number(38,0)",38,38,0,0,Unique identifier for each store in the retail operations system.,Yes,BRONZE_ERP__DBO,STORES,2026-04-13 11:59:38
89,BRONZE_ERP__DBO.STORES,UPDATED_AT,timestamp_ntz,,,,1,The `updated_at` column records the timestamp of the most recent update to a store's record and cannot be null.,,BRONZE_ERP__DBO,STORES,2026-04-13 11:59:38
90,BRONZE_ERP__DBO.SUPPLIERS,CONTACT_NAME,text(256),256,,,1,"The ""contact_name"" column in the ""suppliers"" table stores the name of the primary contact person for a supplier, allowing null values.",,BRONZE_ERP__DBO,SUPPLIERS,2026-04-13 11:59:38
91,BRONZE_ERP__DBO.SUPPLIERS,CREATED_AT,timestamp_ntz,,,,1,"Records the timestamp when a supplier entry is initially created in the system, stored as a non-nullable datetime value.",,BRONZE_ERP__DBO,SUPPLIERS,2026-04-13 11:59:38
92,BRONZE_ERP__DBO.SUPPLIERS,EMAIL,text(256),256,,,1,"The ""email"" column in the ""suppliers"" table stores the email address of a supplier as a nullable nvarchar value for contact purposes.",,BRONZE_ERP__DBO,SUPPLIERS,2026-04-13 11:59:38
93,BRONZE_ERP__DBO.SUPPLIERS,NAME,text(256),256,,,1,"The ""name"" column in the ""suppliers"" table is a non-nullable nvarchar field intended to store the name of a supplier, though sample data indicates it is currently unused.",,BRONZE_ERP__DBO,SUPPLIERS,2026-04-13 11:59:38
94,BRONZE_ERP__DBO.SUPPLIERS,PHONE,text(256),256,,,1,"The ""phone"" column in the ""suppliers"" table stores the contact phone number of a supplier as a nullable string.",,BRONZE_ERP__DBO,SUPPLIERS,2026-04-13 11:59:38
95,BRONZE_ERP__DBO.SUPPLIERS,SUPPLIER_ID,"number(38,0)",38,38,0,0,"Unique identifier for each supplier, serving as the primary key in the suppliers table.",Yes,BRONZE_ERP__DBO,SUPPLIERS,2026-04-13 11:59:38
96,BRONZE_ERP__DBO.SUPPLIERS,UPDATED_AT,timestamp_ntz,,,,1,The `updated_at` column stores the non-nullable timestamp of the most recent update to a supplier record in the `suppliers` table.,,BRONZE_ERP__DBO,SUPPLIERS,2026-04-13 11:59:38
